DMR,p.value,FDR
PGA_scaffold2:36529110-36529148,0.886175364614109,1
PGA_scaffold2:50799021-50799131,0.928857429295448,1
PGA_scaffold2:52276182-52276231,2.78292965144401e-05,0.00283858824447289
PGA_scaffold2:52908402-52908449,2.19508749653593e-05,0.00226094012143201
PGA_scaffold2:57092551-57092583,0.999455906493344,1
PGA_scaffold2:62601831-62601876,0.964613936099414,1
PGA_scaffold2:69260921-69261067,0.520711169112115,1
PGA_scaffold2:69507620-69507662,0.798094921571644,1
PGA_scaffold3:13324159-13324198,0.931440181529847,1
PGA_scaffold3:1618603-1618667,0.960578866458028,1
PGA_scaffold3:20881304-20881564,0.223299581846026,1
PGA_scaffold3:26080621-26080639,0.592504830753341,1
PGA_scaffold3:29542521-29542603,8.13599136166539e-07,8.62415084336531e-05
PGA_scaffold4:14813817-14813882,0.947792877980007,1
PGA_scaffold4:19910057-19910104,0.700406731865895,1
PGA_scaffold4:25820994-25821076,0.226353411821976,1
PGA_scaffold4:3039447-3039498,0.274766407787588,1
PGA_scaffold4:3368800-3368840,0.522012535535306,1
PGA_scaffold4:3369745-3369853,0.960461727510287,1
PGA_scaffold4:52672166-52672439,0.856583545795182,1
PGA_scaffold4:5826926-5826980,0.760685182999539,1
PGA_scaffold4:64942684-64942735,0.986110782230374,1
PGA_scaffold5:1934128-1934180,0.90883445133312,1
PGA_scaffold5:1934947-1934957,0.568548788114518,1
PGA_scaffold5:21524260-21524305,0.0106710106863783,0.981732983146801
PGA_scaffold5:21524722-21524858,1.38608818841353e-06,0.00014553925978342
PGA_scaffold5:49645701-49645816,0.618872250421569,1
PGA_scaffold5:52147837-52147909,0.109930260275996,1
PGA_scaffold5:60831846-60831892,0.850117125044719,1
PGA_scaffold5:60835390-60835465,0.585213888415106,1
PGA_scaffold6:10801157-10801472,0.555347355874129,1
PGA_scaffold6:21771063-21771277,0.93007013386082,1
PGA_scaffold6:3124814-3125242,0.0226791596000974,1
PGA_scaffold6:42546726-42546788,0.0747223645133912,1
PGA_scaffold6:5392776-5392880,0.000782625961061587,0.0766973441840355
PGA_scaffold7:11615335-11615408,0.000445420755662064,0.0440966548105443
PGA_scaffold7:12594394-12594463,7.69623243676633e-06,0.000800408173423699
PGA_scaffold8:18093213-18093280,0.954483873320334,1
PGA_scaffold8:2602927-2602995,0.99693633924805,1
PGA_scaffold8:29686937-29687017,0.199689233035513,1
PGA_scaffold8:34887091-34887173,0.851872035290482,1
PGA_scaffold8:44118814-44118862,0.00510339070300863,0.479718726082811
PGA_scaffold8:52956359-52956473,0.510567219193856,1
PGA_scaffold8:60438807-60438882,0.641831406875223,1
PGA_scaffold8:60605256-60605338,3.69469714852757e-07,3.9533259489245e-05
PGA_scaffold8:6443544-6443787,0.312843168347253,1
PGA_scaffold9:35860922-35861107,0.940158289007122,1
