chr	start	end	number_of_dms	hypermethylated_samples	hypomethylated_samples	methylation_level_EPI.103	methylation_level_EPI.104	methylation_level_EPI.111	methylation_level_EPI.113	methylation_level_EPI.119	methylation_level_EPI.120	methylation_level_EPI.135	methylation_level_EPI.136	methylation_level_EPI.127	methylation_level_EPI.128	methylation_level_EPI.143	methylation_level_EPI.145
PGA_scaffold1__77_contigs__length_89643857	76275023	76275137	4	EPI-119,EPI-135,EPI-128,EPI-104	EPI-111	0.0833333333333333	0.842105263157895	0	0	0.6	0	0.933333333333333	0	0	1	0.238095238095238	0.0714285714285714
PGA_scaffold1__77_contigs__length_89643857	86843354	86843513	6	EPI-111,EPI-136,EPI-120	EPI-127	0.0838323353293413	0.0241379310344828	0.127927927927928	0.02	0.0252525252525253	0.0711297071129707	0.0118343195266272	0.10752688172043	0.0254596888260255	0.0212765957446809	0.0353200883002208	0.0164670658682635
PGA_scaffold2__36_contigs__length_69596280	29935199	29935234	3	EPI-113,EPI-145	EPI-104	0.256410256410256	0.0833333333333333	0.285714285714286	0.829268292682927	0.0909090909090909	0.333333333333333	0.567567567567568	0.341463414634146	0.387096774193548	0.375	0.5625	0.6
PGA_scaffold2__36_contigs__length_69596280	52925352	52925433	11	EPI-103,EPI-104	EPI-135,EPI-136,EPI-111,EPI-145	0.476744186046512	0.707070707070707	0.027027027027027	0.105263157894737	0.407407407407407	0	0.0140845070422535	0.0126582278481013	0	NA	0.05	0
PGA_scaffold2__36_contigs__length_69596280	53313178	53313319	5	EPI-119,EPI-135	EPI-127,EPI-143,EPI-145,EPI-113	0.67741935483871	0.720930232558139	0.578125	0.428571428571429	0.869565217391304	0.7	0.842105263157895	0.714285714285714	0.303030303030303	0.568627450980392	0.363636363636364	0.4
PGA_scaffold2__36_contigs__length_69596280	54831881	54831895	5	EPI-120,EPI-119,EPI-135	EPI-127,EPI-145	0.9	0.883720930232558	1	NA	0.975	0.978260869565217	0.959183673469388	0.954545454545455	0.136363636363636	1	0.816326530612245	0.56
PGA_scaffold3__111_contigs__length_57743597	14002810	14002876	4	EPI-145,EPI-113	EPI-136,EPI-103	0	NA	NA	0.9375	NA	0.8	0.909090909090909	0.0606060606060606	0.166666666666667	0.416666666666667	0.8	0.931034482758621
PGA_scaffold3__111_contigs__length_57743597	14109942	14109954	3	EPI-113,EPI-145	EPI-127,EPI-128,EPI-136	NA	0.166666666666667	0.0833333333333333	0.666666666666667	0	0.333333333333333	0.205128205128205	0	0	0	NA	0.461538461538462
PGA_scaffold3__111_contigs__length_57743597	14698342	14698513	7	EPI-120,EPI-111,EPI-143	EPI-104,EPI-128,EPI-127	NA	0	0.75	0.194029850746269	0.6	0.805555555555556	0.8	0	0.0277777777777778	0	0.741935483870968	0.15
PGA_scaffold3__111_contigs__length_57743597	15572964	15573188	3	EPI-111,EPI-113	EPI-104,EPI-136,EPI-127,EPI-128	0	0.375	0.876404494382023	0.878378378378378	1	0.933333333333333	0.830769230769231	0.357142857142857	0.466666666666667	0.5	0.8	0.857142857142857
PGA_scaffold4__129_contigs__length_65288255	5826944	5826975	6	EPI-103,EPI-104	EPI-143,EPI-145	0.849056603773585	0.735294117647059	0.576271186440678	0.59375	NA	0.625	0.694915254237288	0.586538461538462	0.6875	0.52	0.229508196721311	0.285714285714286
PGA_scaffold4__129_contigs__length_65288255	29642249	29642337	11	EPI-103,EPI-119,EPI-127,EPI-104	EPI-111,EPI-113,EPI-143	0.67741935483871	0.865384615384615	0.315789473684211	0.0392156862745098	0.682242990654206	0.4	0.661290322580645	0.346938775510204	0.672316384180791	0.326530612244898	0.236559139784946	0.538461538461538
PGA_scaffold4__129_contigs__length_65288255	30067219	30067234	5	EPI-135,EPI-119	EPI-103,EPI-145	0	0.833333333333333	0.133333333333333	0.272727272727273	0.444444444444444	0.25	0.508771929824561	0.0857142857142857	NA	0.142857142857143	NA	0.03125
PGA_scaffold4__129_contigs__length_65288255	52672191	52672424	12	EPI-120,EPI-113,EPI-119	EPI-103,EPI-104,EPI-128	0.556701030927835	0.456140350877193	0.773972602739726	0.938144329896907	0.868131868131868	0.899159663865546	0.850746268656716	0.791666666666667	0.802721088435374	0.518518518518518	0.846153846153846	0.757763975155279
PGA_scaffold5__109_contigs__length_67248332	8064794	8064798	4	EPI-113,EPI-143		0	0	0.027027027027027	0.213114754098361	0.125	0.0769230769230769	0	0.196428571428571	0.04	0.0588235294117647	0.387096774193548	0.125
PGA_scaffold5__109_contigs__length_67248332	21524795	21524858	8	EPI-113,EPI-127,EPI-128	EPI-120,EPI-135,EPI-136	NA	0	NA	0.610169491525424	NA	0	0	0	0.529411764705882	0.6	0.6	0.6
PGA_scaffold5__109_contigs__length_67248332	33829656	33830027	5	EPI-136,EPI-120,EPI-135	EPI-104	NA	0.125	0.529411764705882	0.5	0.533333333333333	0.75	0.857142857142857	0.636363636363636	0.6	0.6	0.4	0
PGA_scaffold5__109_contigs__length_67248332	34416978	34417126	3	EPI-127,EPI-128	EPI-113	0.91304347826087	0.64	0.642857142857143	0.590909090909091	0.794871794871795	0.8875	0.892857142857143	0.9	0.951807228915663	1	0.75	0.837209302325581
PGA_scaffold7__69_contigs__length_43120122	2365289	2365367	10	EPI-103,EPI-104	EPI-119	0.841463414634146	0.771428571428571	0.576271186440678	0.416666666666667	0.375	0.639344262295082	0.5	0.690140845070423	0.666666666666667	0.703703703703704	0.75	0.952380952380952
PGA_scaffold8__63_contigs__length_61151155	5043819	5043828	4	EPI-104,EPI-127	EPI-136	0.25	0.428571428571429	0.379310344827586	NA	0.0625	0.125	NA	0	0.545454545454545	NA	0.25	0
PGA_scaffold8__63_contigs__length_61151155	14265258	14265288	4	EPI-128,EPI-145,EPI-127		0	0	0.0416666666666667	0	0	0	0	0	0.6	0.448275862068966	NA	0.444444444444444
PGA_scaffold8__63_contigs__length_61151155	18093213	18093280	5	EPI-104,EPI-128	EPI-111,EPI-120	0.924528301886792	1	0.513888888888889	0.884057971014493	0.791666666666667	0.688888888888889	0.865168539325843	0.89873417721519	0.962962962962963	0.970588235294118	0.823529411764706	0.952380952380952
PGA_scaffold8__63_contigs__length_61151155	25782220	25782477	6	EPI-111,EPI-127,EPI-128,EPI-145	EPI-119,EPI-120,EPI-136	0	0	0.748031496062992	0.0384615384615385	0.0208333333333333	0	0	0	0.573529411764706	0.698412698412698	NA	0.484536082474227
PGA_scaffold9__45_contigs__length_38581958	3996062	3996168	3	EPI-127,EPI-103,EPI-136	EPI-111,EPI-113	0.921052631578947	0.735294117647059	0.576923076923077	0.25	0.6	0.851063829787234	0.72972972972973	0.892857142857143	0.956521739130435	0.772727272727273	NA	0.833333333333333
