yourlist:M201910316746803381A1F0E0DB47453E0216320D0AA5BAI	Entry	Entry name	Protein names	Gene ontology IDs	Gene ontology (GO)
P23919	P23919	KTHY_HUMAN	Thymidylate kinase (EC 2.7.4.9) (dTMP kinase)	GO:0004550; GO:0004798; GO:0005524; GO:0005634; GO:0005737; GO:0005739; GO:0005758; GO:0005759; GO:0005829; GO:0006227; GO:0006233; GO:0006235; GO:0009041; GO:0015949; GO:0043627; GO:0045445; GO:0046105; GO:0046686; GO:0071363	cytoplasm [GO:0005737]; cytosol [GO:0005829]; mitochondrial intermembrane space [GO:0005758]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; ATP binding [GO:0005524]; nucleoside diphosphate kinase activity [GO:0004550]; thymidylate kinase activity [GO:0004798]; uridylate kinase activity [GO:0009041]; cellular response to growth factor stimulus [GO:0071363]; dTDP biosynthetic process [GO:0006233]; dTTP biosynthetic process [GO:0006235]; dUDP biosynthetic process [GO:0006227]; myoblast differentiation [GO:0045445]; nucleobase-containing small molecule interconversion [GO:0015949]; response to cadmium ion [GO:0046686]; response to estrogen [GO:0043627]; thymidine biosynthetic process [GO:0046105]
P46023	P46023	GR101_LYMST	G-protein coupled receptor GRL101	GO:0004930; GO:0005886; GO:0016021	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]
P78333	P78333	GPC5_HUMAN	Glypican-5 [Cleaved into: Secreted glypican-5]	GO:0001523; GO:0005576; GO:0005615; GO:0005796; GO:0005886; GO:0006024; GO:0006027; GO:0009986; GO:0016021; GO:0016477; GO:0043202; GO:0046658; GO:0062023; GO:0090263; GO:1905475	anchored component of plasma membrane [GO:0046658]; cell surface [GO:0009986]; collagen-containing extracellular matrix [GO:0062023]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; Golgi lumen [GO:0005796]; integral component of membrane [GO:0016021]; lysosomal lumen [GO:0043202]; plasma membrane [GO:0005886]; cell migration [GO:0016477]; glycosaminoglycan biosynthetic process [GO:0006024]; glycosaminoglycan catabolic process [GO:0006027]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; regulation of protein localization to membrane [GO:1905475]; retinoid metabolic process [GO:0001523]
P9WQE8	P9WQE8	PHAS_MYCTO	Phthioceranic/hydroxyphthioceranic acid synthase (EC 2.3.1.-) (Polyketide synthase pks2)	GO:0006633; GO:0016491; GO:0016746; GO:0031177	oxidoreductase activity [GO:0016491]; phosphopantetheine binding [GO:0031177]; transferase activity, transferring acyl groups [GO:0016746]; fatty acid biosynthetic process [GO:0006633]
Q3MHL6	Q3MHL6	T22D1_BOVIN	TSC22 domain family protein 1	GO:0003700; GO:0005634; GO:0005737	cytoplasm [GO:0005737]; nucleus [GO:0005634]; DNA-binding transcription factor activity [GO:0003700]
Q5F3G0	Q5F3G0	RHG19_CHICK	Rho GTPase-activating protein 19 (Rho-type GTPase-activating protein 19)	GO:0005096; GO:0005737; GO:0007165; GO:0051056	cytoplasm [GO:0005737]; GTPase activator activity [GO:0005096]; regulation of small GTPase mediated signal transduction [GO:0051056]; signal transduction [GO:0007165]
Q6A098	Q6A098	SBP2L_MOUSE	Selenocysteine insertion sequence-binding protein 2-like (SECIS-binding protein 2-like)	GO:0001514; GO:0003730; GO:0035368; GO:0043021; GO:1990904	ribonucleoprotein complex [GO:1990904]; mRNA 3'-UTR binding [GO:0003730]; ribonucleoprotein complex binding [GO:0043021]; selenocysteine insertion sequence binding [GO:0035368]; selenocysteine incorporation [GO:0001514]
Q6GNV7	Q6GNV7	DIRC2_XENLA	Solute carrier family 49 member 4 homolog (Disrupted in renal carcinoma protein 2 homolog)	GO:0005765; GO:0005887; GO:0055085	integral component of plasma membrane [GO:0005887]; lysosomal membrane [GO:0005765]; transmembrane transport [GO:0055085]
Q6PCR7	Q6PCR7	EIF3A_DANRE	Eukaryotic translation initiation factor 3 subunit A (eIF3a) (Eukaryotic translation initiation factor 3 subunit 10) (eIF-3-theta)	GO:0001732; GO:0002188; GO:0003729; GO:0003743; GO:0005852; GO:0016282; GO:0033290; GO:0043614; GO:0071540; GO:0071541	eukaryotic 43S preinitiation complex [GO:0016282]; eukaryotic 48S preinitiation complex [GO:0033290]; eukaryotic translation initiation factor 3 complex [GO:0005852]; eukaryotic translation initiation factor 3 complex, eIF3e [GO:0071540]; eukaryotic translation initiation factor 3 complex, eIF3m [GO:0071541]; multi-eIF complex [GO:0043614]; mRNA binding [GO:0003729]; translation initiation factor activity [GO:0003743]; formation of cytoplasmic translation initiation complex [GO:0001732]; translation reinitiation [GO:0002188]
Q80VI1	Q80VI1	TRI56_MOUSE	E3 ubiquitin-protein ligase TRIM56 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase TRIM56) (Tripartite motif-containing protein 56)	GO:0004842; GO:0005737; GO:0008270; GO:0032608; GO:0034340; GO:0045087; GO:0046597; GO:0051607; GO:0061630; GO:0070534; GO:1902187	cytoplasm [GO:0005737]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]; defense response to virus [GO:0051607]; innate immune response [GO:0045087]; interferon-beta production [GO:0032608]; negative regulation of viral entry into host cell [GO:0046597]; negative regulation of viral release from host cell [GO:1902187]; protein K63-linked ubiquitination [GO:0070534]; response to type I interferon [GO:0034340]
Q8WUA2	Q8WUA2	PPIL4_HUMAN	Peptidyl-prolyl cis-trans isomerase-like 4 (PPIase) (EC 5.2.1.8) (Cyclophilin-like protein PPIL4) (Rotamase PPIL4)	GO:0003723; GO:0003755; GO:0005634; GO:0005654; GO:0005829; GO:1901407	cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; peptidyl-prolyl cis-trans isomerase activity [GO:0003755]; RNA binding [GO:0003723]; regulation of phosphorylation of RNA polymerase II C-terminal domain [GO:1901407]
Q92851	Q92851	CASPA_HUMAN	Caspase-10 (CASP-10) (EC 3.4.22.63) (Apoptotic protease Mch-4) (FAS-associated death domain protein interleukin-1B-converting enzyme 2) (FLICE2) (ICE-like apoptotic protease 4) [Cleaved into: Caspase-10 subunit p23/17; Caspase-10 subunit p12]	GO:0004197; GO:0005737; GO:0005829; GO:0006915; GO:0006919; GO:0007166; GO:0031265; GO:0031625; GO:0035877; GO:0042981; GO:0043123; GO:0097153; GO:0097190; GO:0097199; GO:0097342	CD95 death-inducing signaling complex [GO:0031265]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; ripoptosome [GO:0097342]; cysteine-type endopeptidase activity [GO:0004197]; cysteine-type endopeptidase activity involved in apoptotic process [GO:0097153]; cysteine-type endopeptidase activity involved in apoptotic signaling pathway [GO:0097199]; death effector domain binding [GO:0035877]; ubiquitin protein ligase binding [GO:0031625]; activation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0006919]; apoptotic process [GO:0006915]; apoptotic signaling pathway [GO:0097190]; cell surface receptor signaling pathway [GO:0007166]; positive regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043123]; regulation of apoptotic process [GO:0042981]
Q9NZJ4	Q9NZJ4	SACS_HUMAN	Sacsin (DnaJ homolog subfamily C member 29) (DNAJC29)	GO:0005634; GO:0005737; GO:0005739; GO:0006457; GO:0030424; GO:0030425; GO:0030544; GO:0051087; GO:0070628; GO:0070852; GO:0090084	axon [GO:0030424]; cell body fiber [GO:0070852]; cytoplasm [GO:0005737]; dendrite [GO:0030425]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; chaperone binding [GO:0051087]; Hsp70 protein binding [GO:0030544]; proteasome binding [GO:0070628]; negative regulation of inclusion body assembly [GO:0090084]; protein folding [GO:0006457]
Q9UJS0	Q9UJS0	CMC2_HUMAN	Calcium-binding mitochondrial carrier protein Aralar2 (Citrin) (Mitochondrial aspartate glutamate carrier 2) (Solute carrier family 25 member 13)	GO:0005313; GO:0005509; GO:0005739; GO:0005743; GO:0005887; GO:0006094; GO:0006754; GO:0006839; GO:0015183; GO:0015810; GO:0015813; GO:0042802; GO:0043490; GO:0045333; GO:0051592	integral component of plasma membrane [GO:0005887]; mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; calcium ion binding [GO:0005509]; identical protein binding [GO:0042802]; L-aspartate transmembrane transporter activity [GO:0015183]; L-glutamate transmembrane transporter activity [GO:0005313]; aspartate transmembrane transport [GO:0015810]; ATP biosynthetic process [GO:0006754]; cellular respiration [GO:0045333]; gluconeogenesis [GO:0006094]; L-glutamate transmembrane transport [GO:0015813]; malate-aspartate shuttle [GO:0043490]; mitochondrial transport [GO:0006839]; response to calcium ion [GO:0051592]
R9UTQ8	R9UTQ8	PROHY_STRGD	L-proline trans-4-hydroxylase (P4H) (EC 1.14.11.57)	GO:0005506; GO:0016706; GO:0016999; GO:0017000	2-oxoglutarate-dependent dioxygenase activity [GO:0016706]; iron ion binding [GO:0005506]; antibiotic biosynthetic process [GO:0017000]; antibiotic metabolic process [GO:0016999]
