DMR.ID,term,df,Deviance,Resid..Df,Resid..Dev,p.value,p.adj
chrScaffold_01_36272786_36272849,TimePoint,3,55.3241026064499,12,78.233923053641,5.85556048321601e-12,6.77835918174119e-12
chrScaffold_01_36382422_36382444,TimePoint,3,66.1238997977566,9,242.846731365043,2.88351282853328e-14,3.57020205914262e-14
chrScaffold_01_41654419_41654462,TimePoint,3,238.551642226713,11,102.844812848917,1.95753514671759e-51,1.12238113318807e-50
chrScaffold_01_420238_420252,TimePoint,3,161.925632669953,12,70.9765036258597,7.03965112171079e-35,2.18674732312383e-34
chrScaffold_01_42264998_42265022,TimePoint,3,176.800695969563,3,61.0412692541534,4.3284720464973e-38,1.5349812719804e-37
chrScaffold_01_42637803_42637826,TimePoint,3,97.4481730237518,10,96.7624229072112,5.49686434586193e-21,9.21400621908824e-21
chrScaffold_01_42680815_42680931,TimePoint,3,118.735898516693,9,141.110514466036,1.44434467672919e-25,3.02942037324225e-25
chrScaffold_01_43541986_43542015,TimePoint,3,86.1774447763296,8,98.3594996545057,1.45009721316828e-18,2.15930737931733e-18
chrScaffold_01_43983921_43984038,TimePoint,3,236.674208728315,11,100.319897048265,4.98525751355969e-51,2.79447535759247e-50
chrScaffold_01_45423485_45423519,TimePoint,3,491.966887965053,8,202.235012047751,2.62745769954173e-106,5.37315099556284e-105
chrScaffold_01_45608581_45608621,TimePoint,3,77.6810996143806,6,95.7843344388191,9.64601350018459e-17,1.34343457034353e-16
chrScaffold_01_45661789_45661848,TimePoint,3,173.930881208574,8,169.555830833594,1.80298947415581e-37,6.19682936915735e-37
chrScaffold_01_45745248_45745350,TimePoint,3,700.407845121886,11,712.671742089573,1.71239200020563e-151,9.55047720114687e-150
chrScaffold_01_45797511_45797582,TimePoint,3,34.0927455213298,11,103.756931258431,1.89385049298045e-07,1.98781399049359e-07
chrScaffold_01_46217443_46217519,TimePoint,3,145.922287367967,10,148.879266761245,1.99675590883263e-31,5.40843156763275e-31
chrScaffold_01_46745962_46746237,TimePoint,3,295.033845522144,10,296.26010499283,1.18183008960042e-63,9.29554820474175e-63
chrScaffold_01_46767000_46767019,TimePoint,3,44.4419447394743,12,143.269057837056,1.21577375660702e-09,1.3283654491156e-09
chrScaffold_01_46774063_46774118,TimePoint,3,123.887424973138,12,163.192315087579,1.12229033048548e-26,2.49014509133035e-26
chrScaffold_01_46782713_46782926,TimePoint,3,136.729174651479,11,144.619890539185,1.91712222946166e-29,4.79085331069137e-29
chrScaffold_01_46840305_46840589,TimePoint,3,74.7895682994761,7,98.9794043227166,4.01982210191719e-16,5.3964132593571e-16
chrScaffold_01_48145803_48145827,TimePoint,3,62.8557693315176,9,107.157815914199,1.44180763224362e-13,1.74467254907586e-13
chrScaffold_01_48740838_48740883,TimePoint,3,201.02462389345,11,597.082824800476,2.53376748878281e-43,1.10245840735337e-42
chrScaffold_01_49217084_49217148,TimePoint,3,27.0428743540712,9,140.031600426515,5.76675788018226e-06,5.91623070149133e-06
chrScaffold_01_49407149_49407177,TimePoint,3,119.274115948051,9,78.7145226618234,1.10602359820125e-25,2.33981199136712e-25
chrScaffold_01_49458522_49458603,TimePoint,3,202.174978577567,12,280.490531246758,1.42954349599486e-43,6.33230999850431e-43
chrScaffold_01_49459713_49459719,TimePoint,3,64.2961757222657,9,71.7893136055029,7.09412938915165e-14,8.66981749052697e-14
chrScaffold_01_49460166_49460271,TimePoint,3,328.303880586208,12,370.698825620339,7.43212590040219e-71,7.47476924573236e-70
chrScaffold_01_50701670_50701692,TimePoint,3,76.2806305742198,7,60.3828979653743,1.92576886032318e-16,2.6430854492355e-16
chrScaffold_01_53319052_53319158,TimePoint,3,264.17418790516,12,424.59775298348,5.62113419814974e-57,3.6883057011389e-56
chrScaffold_01_55504375_55504404,TimePoint,3,178.322273858194,5,26.646050125492,2.03127336646662e-38,7.30901003124499e-38
chrScaffold_01_5569670_5569896,TimePoint,3,195.307829963787,11,260.712800811674,4.3546202296053e-42,1.84245483507783e-41
chrScaffold_01_55718281_55718293,TimePoint,3,119.163719399366,12,94.4815332594836,1.16825840015413e-25,2.46297776114968e-25
chrScaffold_01_56899153_56899175,TimePoint,3,92.8986791067099,10,52.3227919039892,5.22221390152258e-20,8.28933564963545e-20
chrScaffold_01_57957420_57957499,TimePoint,3,63.118525626632,7,34.3797940339409,1.26686076457859e-13,1.53752537896927e-13
chrScaffold_01_59186934_59186958,TimePoint,3,134.164269245289,11,88.8223455027205,6.847928128225e-29,1.65401728608899e-28
chrScaffold_01_59209819_59209836,TimePoint,2,73.2839654559822,3,47.0378641297445,1.22064420945006e-16,1.68853488725504e-16
chrScaffold_01_60168313_60168517,TimePoint,3,948.74151975187,12,787.718139759223,2.36792346699943e-205,2.9054420940083e-203
chrScaffold_01_60182366_60182430,TimePoint,3,315.92752074673,9,55.3409428103991,3.55068803997114e-68,3.08985406031531e-67
chrScaffold_01_60960397_60960416,TimePoint,3,75.3336745759047,5,50.8031649483497,3.07318967435822e-16,4.17124306464329e-16
chrScaffold_01_62095373_62095387,TimePoint,3,189.163179911829,7,143.973842881663,9.25494186933337e-41,3.63968386976668e-40
chrScaffold_01_63644077_63644219,TimePoint,3,58.4504022181198,8,37.9086379526459,1.25961684214819e-12,1.49040488458614e-12
chrScaffold_01_64034607_64034622,TimePoint,3,31.4048515591564,11,137.109946083037,6.98527226777621e-07,7.24507952033931e-07
chrScaffold_01_660957_660981,TimePoint,3,59.6665059992356,12,177.683789311136,6.92615443534542e-13,8.23487547690778e-13
chrScaffold_01_66187438_66187480,TimePoint,2,190.422771830685,2,8.98827516808078,4.46910422033411e-42,1.88439549084191e-41
chrScaffold_01_66290933_66290989,TimePoint,3,52.6791293975896,10,93.7963264636211,2.14611520014717e-11,2.44501703860778e-11
chrScaffold_01_67013040_67013164,TimePoint,3,52.739873839309,11,87.6987213590201,2.08306967443107e-11,2.37539636666071e-11
chrScaffold_01_67679753_67679774,TimePoint,3,104.48879340179,12,84.365736114239,1.68313910161168e-22,3.04154886255896e-22
chrScaffold_01_68295318_68295328,TimePoint,3,44.3049168010719,3,76.2225037921884,1.30006718136844e-09,1.41793993914585e-09
chrScaffold_01_69254768_69254821,TimePoint,3,203.349959511236,9,40.2142405660687,7.96708803489984e-44,3.58081209480663e-43
chrScaffold_01_69693016_69693054,TimePoint,3,153.353247754515,9,69.0235724940898,4.98146064312218e-33,1.42476741471117e-32
chrScaffold_01_70198526_70198601,TimePoint,3,65.2449493543321,9,84.3970146445969,4.44592829673141e-14,5.47706226916611e-14
chrScaffold_01_70401954_70401979,TimePoint,3,68.3329851171066,11,93.0288451203795,9.70862351902743e-15,1.22179292900991e-14
chrScaffold_01_70855871_70855889,TimePoint,3,89.7095738706423,10,50.1050349441399,2.52892330279553e-19,3.86424519617698e-19
chrScaffold_01_70919125_70919396,TimePoint,3,271.724218118602,9,96.2125589427647,1.3074633739344e-58,9.06360203286727e-58
chrScaffold_01_71650250_71650274,TimePoint,3,57.5620310428404,6,91.6323301824341,1.94952699781576e-12,2.2868734477246e-12
chrScaffold_01_72033661_72033683,TimePoint,3,79.4042089077964,11,136.751411135474,4.11933005924464e-17,5.80300572065806e-17
chrScaffold_01_72309786_72309836,TimePoint,3,70.2531394381315,12,128.538132389481,3.76749337956543e-15,4.8203486722907e-15
chrScaffold_01_74289605_74289861,TimePoint,3,367.268292803487,11,294.089527429722,2.7183978341948e-79,3.40354504342553e-78
chrScaffold_01_75572209_75572324,TimePoint,3,239.602873557048,12,283.683254642546,1.15980373282333e-51,6.77656752463915e-51
chrScaffold_01_76374602_76374696,TimePoint,3,59.6197372809796,9,83.2616018405469,7.08733622409963e-13,8.4183558053923e-13
chrScaffold_01_7779603_7779637,TimePoint,3,171.803715281302,10,139.156980924362,5.19110391275842e-37,1.74985837938313e-36
chrScaffold_01_79813609_79813620,TimePoint,3,111.855332569114,10,68.1367703835789,4.37545705317227e-24,8.50821839024149e-24
chrScaffold_01_80571363_80571433,TimePoint,2,203.951989386149,4,10.0478975799443,5.15689416185347e-45,2.44305372069274e-44
chrScaffold_01_80906290_80906515,TimePoint,3,29.8061810543555,12,58.7348920277088,1.51587245793004e-06,1.5669549333447e-06
chrScaffold_01_80916873_80916901,TimePoint,3,149.315600401573,6,126.283552280907,3.70170574395855e-32,1.02993037365922e-31
chrScaffold_01_82706708_82706902,TimePoint,3,47.5305990034794,10,121.233669258026,2.68011303912876e-10,2.98682897276202e-10
chrScaffold_01_8310645_8310721,TimePoint,3,57.527860848616,10,39.4051705160113,1.98255177989349e-12,2.32117465069591e-12
chrScaffold_01_83665951_83665972,TimePoint,3,73.698486391602,12,190.220191270442,6.88689899491148e-16,9.09604420533518e-16
chrScaffold_01_83673541_83673588,TimePoint,3,401.955785326218,12,573.1378335615,8.34672077729696e-87,1.19086353415621e-85
chrScaffold_01_85164051_85164076,TimePoint,2,86.450077328829,5,202.116102011239,1.68890113668179e-19,2.59684422895809e-19
chrScaffold_01_8516631_8516652,TimePoint,3,365.519222671701,10,205.508501724595,6.50261099662096e-79,7.89970662658803e-78
chrScaffold_01_85222412_85222579,TimePoint,2,107.456728273566,3,84.6970577124817,4.63519419228867e-24,8.97063607876687e-24
chrScaffold_01_86722818_86722896,TimePoint,3,67.6939579765166,12,97.3684605622418,1.33026419766977e-14,1.66895109462251e-14
chrScaffold_01_87637467_87637532,TimePoint,2,354.528048313298,4,106.303437258484,1.03564871058867e-77,1.22186631528106e-76
chrScaffold_01_87839909_87839965,TimePoint,3,84.868085254569,12,70.1858072834051,2.7699470908028e-18,4.07032943762279e-18
chrScaffold_01_88434572_88434646,TimePoint,3,645.094067726296,12,284.599468929311,1.68665513428216e-139,5.9129309993263e-138
chrScaffold_01_88784076_88784087,TimePoint,3,75.049824112741,12,222.295330003277,3.53531368412384e-16,4.7773456942951e-16
chrScaffold_01_88784273_88784413,TimePoint,3,51.4908149009204,10,84.584323878468,3.84519131125879e-11,4.36856457306901e-11
chrScaffold_01_89332381_89332416,TimePoint,3,75.6012846869101,11,165.173275637218,2.69295404018546e-16,3.66731920899839e-16
chrScaffold_01_89339342_89339389,TimePoint,3,120.511671677961,12,212.219676180782,5.98738996414223e-26,1.27543879965322e-25
chrScaffold_01_89642219_89642310,TimePoint,3,471.057253747294,11,289.660425425576,8.92509745240716e-102,1.68478378063132e-100
chrScaffold_01_9786512_9786613,TimePoint,3,106.386483829086,12,108.471788334673,6.57473157850754e-23,1.21493910343806e-22
chrScaffold_01_9886785_9886804,TimePoint,3,67.6160738519216,3,40.4875508898734,1.38231597829875e-14,1.73248386657055e-14
chrScaffold_02_11785647_11785752,TimePoint,3,167.315748194979,10,256.653060290808,4.83201375811727e-36,1.55613671422832e-35
chrScaffold_02_12068355_12068393,TimePoint,2,280.877115922192,2,0.78363885214201,1.01931691475978e-61,7.67301751171929e-61
chrScaffold_02_12411754_12411845,TimePoint,3,192.552267780216,12,128.937493718057,1.71497914473116e-41,6.99096149696059e-41
chrScaffold_02_15795631_15795655,TimePoint,3,79.6825209968791,4,67.4589300027893,3.59032067998079e-17,5.08280421723127e-17
chrScaffold_02_16033187_16033255,TimePoint,3,174.405590453906,4,40.0062669747958,1.42395596311059e-37,4.94955797942406e-37
chrScaffold_02_16167251_16167312,TimePoint,3,154.919164742031,9,99.3997158938231,2.28823250666267e-33,6.70086225698113e-33
chrScaffold_02_17498570_17498603,TimePoint,3,59.828044375588,11,116.393751722218,6.39709687042786e-13,7.61322779826866e-13
chrScaffold_02_18662693_18662792,TimePoint,3,100.847137315763,12,245.623656238038,1.02173527761614e-21,1.7858535407906e-21
chrScaffold_02_18956823_18956870,TimePoint,3,131.731541166156,8,100.684408913173,2.29036294091243e-28,5.39400254990318e-28
chrScaffold_02_19813487_19813508,TimePoint,3,200.57934523254,11,323.053140321017,3.16213926818645e-43,1.37100525868013e-42
chrScaffold_02_20001062_20001103,TimePoint,3,71.5666508547896,8,84.944893719557,1.97124527985138e-15,2.54334170176408e-15
chrScaffold_02_21212454_21212497,TimePoint,3,108.392303544166,11,120.825843859295,2.43389754491573e-23,4.58739214686882e-23
chrScaffold_02_23601095_23601166,TimePoint,3,76.0574647128388,9,64.9143533198072,2.15002682347523e-16,2.93773152828965e-16
chrScaffold_02_23707369_23707409,TimePoint,3,48.4809493013287,11,91.1250133667028,1.68235352484001e-10,1.88515778536867e-10
chrScaffold_02_25326935_25326959,TimePoint,3,123.084787117454,7,160.048156297533,1.67111645778398e-26,3.67465930770778e-26
chrScaffold_02_25357372_25357385,TimePoint,3,35.996165452191,7,108.297665870018,7.50236894334559e-08,7.91522501589428e-08
chrScaffold_02_26511934_26512001,TimePoint,3,166.107801119587,8,53.6744961938657,8.80796714854823e-36,2.8071105691607e-35
chrScaffold_02_27575049_27575075,TimePoint,3,73.4834456096585,9,107.151909852512,7.65775165570901e-16,1.00924396149892e-15
chrScaffold_02_27828244_27828253,TimePoint,3,65.2506348154147,11,139.158732500069,4.43349515800852e-14,5.46723473253915e-14
chrScaffold_02_28281839_28281862,TimePoint,3,129.622674204405,12,110.5242636368,6.52209314348751e-28,1.50142744597733e-27
chrScaffold_02_2894298_2894351,TimePoint,3,168.857873527791,9,129.930954679621,2.24506467328614e-36,7.32631477160132e-36
chrScaffold_02_29018744_29018821,TimePoint,3,410.04825134051,5,17.9505798739082,1.47423389029654e-88,2.23319133752328e-87
chrScaffold_02_30399249_30399302,TimePoint,3,168.490271785668,3,22.5859738175142,2.6951617333423e-36,8.7254972211372e-36
chrScaffold_02_3163382_3163422,TimePoint,3,94.4196674723722,8,20.8169401820057,2.46053582751163e-20,3.97770416384291e-20
chrScaffold_02_31873762_31873784,TimePoint,3,147.059966923877,10,194.395165273183,1.13486670034836e-31,3.11517100968108e-31
chrScaffold_02_36345436_36345470,TimePoint,3,82.9345761308332,11,176.585360434458,7.20175760759631e-18,1.04574634136339e-17
chrScaffold_02_38723135_38723161,TimePoint,3,34.4721906955824,12,145.887263242149,1.57479634552059e-07,1.65576273860648e-07
chrScaffold_02_41442653_41442687,TimePoint,3,518.458454763199,11,608.921348376047,4.76770413547542e-112,1.12499480273622e-110
chrScaffold_02_41522669_41522700,TimePoint,2,74.7231797007383,4,101.421873564881,5.94384797293473e-17,8.32545829085721e-17
chrScaffold_02_42419021_42419054,TimePoint,3,39.6483692361985,7,138.608094150846,1.26498443244824e-08,1.3508580492724e-08
chrScaffold_02_42491567_42491699,TimePoint,3,85.7031811395153,10,112.993660503321,1.83320394468612e-18,2.71988058056816e-18
chrScaffold_02_42810700_42810725,TimePoint,3,143.204214488446,10,104.22661911244,7.70050914603261e-31,2.05402711351783e-30
chrScaffold_02_44630974_44630991,TimePoint,3,132.238950322318,11,87.7327369720452,1.78050930786996e-28,4.24210664224551e-28
chrScaffold_02_46404118_46404204,TimePoint,3,155.723982974628,12,125.708368236878,1.53407663122355e-33,4.53569163014769e-33
chrScaffold_02_47298650_47298661,TimePoint,3,24.3081490750832,12,143.506015478873,2.15398966016335e-05,2.19696202246087e-05
chrScaffold_02_47300777_47300897,TimePoint,3,320.184180115706,12,288.532998926144,4.25479636734162e-69,3.83870231082953e-68
chrScaffold_02_48996844_48996864,TimePoint,3,78.7921255779418,8,50.128658035811,5.57313294084394e-17,7.82406649704292e-17
chrScaffold_02_50195255_50195261,TimePoint,3,213.365967510457,9,258.168691774725,5.45371956682134e-46,2.69827173729427e-45
chrScaffold_02_50664688_50664809,TimePoint,3,60.8893787037125,11,164.1862987234,3.79502658781895e-13,4.54292451049156e-13
chrScaffold_02_50796025_50796114,TimePoint,3,95.4238335626758,5,113.833463455248,1.49702156016607e-20,2.45239713527873e-20
chrScaffold_02_50831775_50831828,TimePoint,3,69.9222408492482,12,165.183984356639,4.43515792094833e-15,5.63931478653223e-15
chrScaffold_02_50898701_50898765,TimePoint,3,26.5044142347392,9,114.386597731943,7.47797659231282e-06,7.6526082391725e-06
chrScaffold_02_51777590_51777607,TimePoint,3,62.6156394394008,11,126.520047865661,1.62272531283914e-13,1.9597283059583e-13
chrScaffold_02_52104214_52104286,TimePoint,3,662.938489122636,11,302.304433620645,2.28069113430186e-143,9.64968283375303e-142
chrScaffold_02_52560441_52560451,TimePoint,3,95.0441188311586,12,116.426951227303,1.80648304691268e-20,2.93972771692554e-20
chrScaffold_02_52623189_52623207,TimePoint,3,40.0572498617849,10,79.0201636963148,1.03614751857988e-08,1.11035196969215e-08
chrScaffold_02_52821142_52821230,TimePoint,3,189.549721895316,10,202.087235643126,7.63617431031432e-41,3.03222843972675e-40
chrScaffold_02_52924205_52924221,TimePoint,3,75.1661888040937,5,36.8093854996983,3.33800888781904e-16,4.52068091098671e-16
chrScaffold_02_52934417_52934467,TimePoint,3,149.858774830412,7,19.8413161168774,2.82638437723536e-32,7.8997121432068e-32
chrScaffold_02_5297601_5297620,TimePoint,3,100.493788661596,12,171.129406099293,1.21708134448581e-21,2.109263855486e-21
chrScaffold_02_53506352_53506558,TimePoint,3,174.496347717119,11,189.561679361,1.36113300733924e-37,4.74463125001491e-37
chrScaffold_02_54036198_54036237,TimePoint,3,37.8154455286663,7,95.5460652992403,3.09253937116962e-08,3.28247907303211e-08
chrScaffold_02_54763197_54763241,TimePoint,3,152.019517812061,11,386.73740552209,9.6627343123002e-33,2.73183755787842e-32
chrScaffold_02_54842924_54842940,TimePoint,3,97.9989310316652,3,33.6764029472625,4.18522630423397e-21,7.07337834062683e-21
chrScaffold_02_55534345_55534464,TimePoint,3,161.416125159,10,199.913998480531,9.06803644952525e-35,2.80263998074748e-34
chrScaffold_02_56032435_56032491,TimePoint,3,217.501608196504,10,142.365362410901,6.96274236006816e-47,3.47288003081449e-46
chrScaffold_02_5635296_5635339,TimePoint,3,46.8030517413619,12,101.437039220804,3.82756146895187e-10,4.23482229251934e-10
chrScaffold_02_56483196_56483226,TimePoint,3,40.1833276480621,7,143.136896629198,9.74304748437482e-09,1.04499294259859e-08
chrScaffold_02_56677624_56677649,TimePoint,3,158.008383197625,6,116.735120147866,4.93081368075796e-34,1.47563619177805e-33
chrScaffold_02_57644183_57644198,TimePoint,3,138.822107225941,9,69.204236841004,6.78308271662739e-30,1.73032068467813e-29
chrScaffold_02_59898790_59898954,TimePoint,3,1611.89481245146,11,1636.88720802462,0,0
chrScaffold_02_61010468_61010656,TimePoint,3,79.0970741974272,12,100.394277133594,4.79401036454592e-17,6.73797333023808e-17
chrScaffold_02_61427232_61427282,TimePoint,3,277.453819516825,7,198.856807287507,7.52940964080523e-60,5.37127071469071e-59
chrScaffold_02_61668341_61668372,TimePoint,3,139.376758000765,7,19.5827184030916,5.15038745513494e-30,1.33323320832291e-29
chrScaffold_02_62528086_62528119,TimePoint,3,101.716723749879,12,149.928523086043,6.6426094355821e-22,1.17104623239357e-21
chrScaffold_02_62581017_62581048,TimePoint,3,135.854013729315,12,312.984432825688,2.96015361004753e-29,7.29339052114121e-29
chrScaffold_02_62583068_62583621,TimePoint,3,349.684120780542,11,141.509524314936,1.74611427679928e-75,2.02120963927615e-74
chrScaffold_02_62584583_62584629,TimePoint,1,125.150069527821,2,3.89586687658892,4.71876940510717e-29,1.14425495258231e-28
chrScaffold_02_62680996_62681271,TimePoint,3,321.640385792651,12,281.524465762136,2.05895569999172e-69,1.9433374183768e-68
chrScaffold_02_62806750_62806771,TimePoint,3,57.6863043889518,11,138.980311750484,1.83398795173005e-12,2.15546285131492e-12
chrScaffold_02_62966038_62966195,TimePoint,3,74.7541841548458,12,45.4432475082432,4.09063083020319e-16,5.48546888378067e-16
chrScaffold_02_63087594_63087615,TimePoint,3,122.755309729041,12,240.098811605928,1.96779124017718e-26,4.31157116374535e-26
chrScaffold_02_63148467_63148478,TimePoint,3,119.005864065359,11,147.774348122702,1.26337894629847e-25,2.6543937792949e-25
chrScaffold_02_66658096_66658121,TimePoint,3,94.8525613617356,9,71.2605258321824,1.98609913536583e-20,3.22347042208185e-20
chrScaffold_02_68561073_68561093,TimePoint,3,98.2354853678375,12,146.63091027326,3.72275961848189e-21,6.30044972672728e-21
chrScaffold_02_69282712_69282736,TimePoint,3,321.620015421851,2,4.60449456340721e-10,2.07996824264594e-69,1.94818399521112e-68
chrScaffold_02_69508457_69508511,TimePoint,3,271.862409337838,11,190.943940198583,1.22048175927394e-58,8.50869953766549e-58
chrScaffold_02_69556639_69556652,TimePoint,3,54.9352824812877,12,129.587934648462,7.08795468761882e-12,8.18919058541271e-12
chrScaffold_02_7048389_7048440,TimePoint,2,413.335902594637,6,141.697170940827,1.75893246693668e-90,2.802870307703e-89
chrScaffold_02_8445910_8445940,TimePoint,3,124.780435554538,10,165.913014039535,7.20651956296329e-27,1.62245862454238e-26
chrScaffold_02_9197912_9197936,TimePoint,3,46.7639827318349,10,94.3628590868023,3.90150221336971e-10,4.31274163586003e-10
chrScaffold_03_10602_10677,TimePoint,3,62.5450496989408,9,182.212094723057,1.68010303203679e-13,2.02702696195589e-13
chrScaffold_03_10912132_10912233,TimePoint,2,131.929544276106,3,12.3639219243212,2.24834762779375e-29,5.59578608377878e-29
chrScaffold_03_11272479_11272554,TimePoint,3,72.5378170626444,12,329.077208999583,1.22096565238282e-15,1.58867959223088e-15
chrScaffold_03_11904674_11904981,TimePoint,3,131.463696034473,12,62.0429889749474,2.61595784134205e-28,6.11386718347941e-28
chrScaffold_03_13504275_13504291,TimePoint,3,90.3893129502089,9,70.4121089391587,1.80690820789814e-19,2.77481398134045e-19
chrScaffold_03_13709393_13709529,TimePoint,3,43.9360181986234,12,158.64381511752,1.55715801847861e-09,1.69382348286636e-09
chrScaffold_03_150836_150853,TimePoint,3,97.8293172495897,5,8.36791102768234,4.55178154768256e-21,7.671752690943e-21
chrScaffold_03_15302091_15302251,TimePoint,3,326.473888193211,12,342.306252513598,1.85048011551222e-70,1.81643128138679e-69
chrScaffold_03_15571327_15571336,TimePoint,3,79.5334138953357,7,58.106765859787,3.86468915252449e-17,5.4631032144557e-17
chrScaffold_03_16160189_16160292,TimePoint,3,302.756181724763,12,168.753660208577,2.51909448885041e-65,2.04697280650295e-64
chrScaffold_03_16369071_16369210,TimePoint,3,117.026664421903,11,121.52434231655,3.3707753905399e-25,6.93949900032292e-25
chrScaffold_03_16463590_16463616,TimePoint,3,138.823942436283,11,156.558439663164,6.77690554229986e-30,1.73032068467813e-29
chrScaffold_03_16927185_16927233,TimePoint,3,57.6181086537157,7,33.1562796833633,1.89651644597316e-12,2.22681883177901e-12
chrScaffold_03_17149738_17149843,TimePoint,3,70.7156651275411,12,191.749649382137,2.99917949077683e-15,3.85339605778343e-15
chrScaffold_03_18009606_18009623,TimePoint,3,32.742982395921,6,96.1734983394213,3.64883593466868e-07,3.81031633347955e-07
chrScaffold_03_18653939_18654011,TimePoint,3,311.793936567851,10,275.865447385458,2.78655149131887e-67,2.40781597172413e-66
chrScaffold_03_19219371_19219396,TimePoint,2,429.433400510101,2,11.4223537802093,5.61981354545529e-94,9.07304107930743e-93
chrScaffold_03_20239642_20239695,TimePoint,3,207.831104239233,7,115.288414987052,8.56878485927737e-45,4.04380731628205e-44
chrScaffold_03_20337264_20337348,TimePoint,3,146.437783867338,12,253.898822727164,1.54575915446287e-31,4.20542457322825e-31
chrScaffold_03_20751009_20751088,TimePoint,3,50.5662634048363,11,158.956461027425,6.05191953844051e-11,6.85028161777353e-11
