Entry	Entry name	Protein names	Gene ontology IDs	Gene ontology (GO)
Q09575	YRD6_CAEEL	Uncharacterized protein K02A2.6	GO:0003676; GO:0008270; GO:0015074	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]; DNA integration [GO:0015074]
Q2EMV9	PAR14_MOUSE	Protein mono-ADP-ribosyltransferase PARP14 (EC 2.4.2.-) (ADP-ribosyltransferase diphtheria toxin-like 8) (ARTD8) (Collaborator of STAT6) (CoaSt6) (Poly [ADP-ribose] polymerase 14) (PARP-14)	GO:0003950; GO:0005634; GO:0005737; GO:0005829; GO:0006471; GO:0010629; GO:0019899; GO:0042531; GO:0042532; GO:0045087; GO:0060336; GO:0070212; GO:0070403; GO:0140289; GO:1902216; GO:1990404	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; enzyme binding [GO:0019899]; NAD+ ADP-ribosyltransferase activity [GO:0003950]; NAD+ binding [GO:0070403]; protein ADP-ribosylase activity [GO:1990404]; innate immune response [GO:0045087]; negative regulation of gene expression [GO:0010629]; negative regulation of interferon-gamma-mediated signaling pathway [GO:0060336]; negative regulation of tyrosine phosphorylation of STAT protein [GO:0042532]; positive regulation of interleukin-4-mediated signaling pathway [GO:1902216]; positive regulation of tyrosine phosphorylation of STAT protein [GO:0042531]; protein ADP-ribosylation [GO:0006471]; protein mono-ADP-ribosylation [GO:0140289]; protein poly-ADP-ribosylation [GO:0070212]
Q3V1H9	SAMD5_MOUSE	Sterile alpha motif domain-containing protein 5 (SAM domain-containing protein 5)	GO:0005737; GO:0031435; GO:0043507; GO:1901224	cytoplasm [GO:0005737]; mitogen-activated protein kinase kinase kinase binding [GO:0031435]; positive regulation of JUN kinase activity [GO:0043507]; positive regulation of NIK/NF-kappaB signaling [GO:1901224]
Q4LDE5	SVEP1_HUMAN	Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 (CCP module-containing protein 22) (Polydom) (Selectin-like osteoblast-derived protein) (SEL-OB) (Serologically defined breast cancer antigen NY-BR-38)	GO:0003682; GO:0005509; GO:0005576; GO:0005737; GO:0007155; GO:0016020	cytoplasm [GO:0005737]; extracellular region [GO:0005576]; membrane [GO:0016020]; calcium ion binding [GO:0005509]; chromatin binding [GO:0003682]; cell adhesion [GO:0007155]
Q5F3G0	RHG19_CHICK	Rho GTPase-activating protein 19 (Rho-type GTPase-activating protein 19)	GO:0005096; GO:0005737; GO:0007165; GO:0051056	cytoplasm [GO:0005737]; GTPase activator activity [GO:0005096]; regulation of small GTPase mediated signal transduction [GO:0051056]; signal transduction [GO:0007165]
Q5RBN9	TAD2B_PONAB	Transcriptional adapter 2-beta	GO:0003677; GO:0003713; GO:0005634; GO:0006357; GO:0008270; GO:0035065	nucleus [GO:0005634]; DNA binding [GO:0003677]; transcription coactivator activity [GO:0003713]; zinc ion binding [GO:0008270]; regulation of histone acetylation [GO:0035065]; regulation of transcription by RNA polymerase II [GO:0006357]
Q6I6G8	HECW2_MOUSE	E3 ubiquitin-protein ligase HECW2 (EC 2.3.2.26) (HECT, C2 and WW domain-containing protein 2) (HECT-type E3 ubiquitin transferase HECW2) (NEDD4-like E3 ubiquitin-protein ligase 2)	GO:0000209; GO:0005737; GO:0006511; GO:0016567; GO:0030071; GO:0043161; GO:0045732; GO:0048814; GO:0061630; GO:0072686; GO:2000650	cytoplasm [GO:0005737]; mitotic spindle [GO:0072686]; ubiquitin protein ligase activity [GO:0061630]; negative regulation of sodium ion transmembrane transporter activity [GO:2000650]; positive regulation of protein catabolic process [GO:0045732]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein polyubiquitination [GO:0000209]; protein ubiquitination [GO:0016567]; regulation of dendrite morphogenesis [GO:0048814]; regulation of mitotic metaphase/anaphase transition [GO:0030071]; ubiquitin-dependent protein catabolic process [GO:0006511]
Q8C5S7	REC8_MOUSE	Meiotic recombination protein REC8 homolog (Cohesin Rec8p)	GO:0000724; GO:0000778; GO:0000780; GO:0000793; GO:0000794; GO:0000795; GO:0000800; GO:0001556; GO:0001673; GO:0003682; GO:0005634; GO:0005654; GO:0006302; GO:0007062; GO:0007129; GO:0007130; GO:0007141; GO:0007286; GO:0009566; GO:0030893; GO:0034991; GO:0051321; GO:0072520	condensed chromosome [GO:0000793]; condensed nuclear chromosome [GO:0000794]; condensed nuclear chromosome kinetochore [GO:0000778]; condensed nuclear chromosome, centromeric region [GO:0000780]; lateral element [GO:0000800]; male germ cell nucleus [GO:0001673]; meiotic cohesin complex [GO:0030893]; nuclear meiotic cohesin complex [GO:0034991]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; synaptonemal complex [GO:0000795]; chromatin binding [GO:0003682]; double-strand break repair [GO:0006302]; double-strand break repair via homologous recombination [GO:0000724]; fertilization [GO:0009566]; male meiosis I [GO:0007141]; meiotic cell cycle [GO:0051321]; oocyte maturation [GO:0001556]; seminiferous tubule development [GO:0072520]; sister chromatid cohesion [GO:0007062]; spermatid development [GO:0007286]; synapsis [GO:0007129]; synaptonemal complex assembly [GO:0007130]
Q8L706	SYT5_ARATH	Synaptotagmin-5 (NTMC2T2.1) (Synaptotagmin E)	GO:0005783; GO:0005886; GO:0006869; GO:0008289; GO:0009506; GO:0012505; GO:0016021; GO:0046872	endomembrane system [GO:0012505]; endoplasmic reticulum [GO:0005783]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; plasmodesma [GO:0009506]; lipid binding [GO:0008289]; metal ion binding [GO:0046872]; lipid transport [GO:0006869]
Q8N9B5	JMY_HUMAN	Junction-mediating and -regulatory protein	GO:0003713; GO:0003779; GO:0005634; GO:0005654; GO:0005737; GO:0005856; GO:0006281; GO:0006357; GO:0007050; GO:0031252; GO:0034314; GO:0043065; GO:0051091; GO:0070060; GO:0070358; GO:0071933; GO:0072332; GO:1901796	cell leading edge [GO:0031252]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; actin binding [GO:0003779]; Arp2/3 complex binding [GO:0071933]; transcription coactivator activity [GO:0003713]; 'de novo' actin filament nucleation [GO:0070060]; actin polymerization-dependent cell motility [GO:0070358]; Arp2/3 complex-mediated actin nucleation [GO:0034314]; cell cycle arrest [GO:0007050]; DNA repair [GO:0006281]; intrinsic apoptotic signaling pathway by p53 class mediator [GO:0072332]; positive regulation of apoptotic process [GO:0043065]; positive regulation of DNA-binding transcription factor activity [GO:0051091]; regulation of signal transduction by p53 class mediator [GO:1901796]; regulation of transcription by RNA polymerase II [GO:0006357]
Q8NEN9	PDZD8_HUMAN	PDZ domain-containing protein 8 (Sarcoma antigen NY-SAR-84/NY-SAR-104)	GO:0005739; GO:0005789; GO:0006869; GO:0007010; GO:0008289; GO:0016020; GO:0016021; GO:0016032; GO:0022604; GO:0035556; GO:0044233; GO:0046872; GO:0051560; GO:1990456	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; mitochondria-associated endoplasmic reticulum membrane [GO:0044233]; mitochondrion [GO:0005739]; lipid binding [GO:0008289]; metal ion binding [GO:0046872]; cytoskeleton organization [GO:0007010]; intracellular signal transduction [GO:0035556]; lipid transport [GO:0006869]; mitochondrial calcium ion homeostasis [GO:0051560]; mitochondrion-endoplasmic reticulum membrane tethering [GO:1990456]; regulation of cell morphogenesis [GO:0022604]; viral process [GO:0016032]
Q8WUA2	PPIL4_HUMAN	Peptidyl-prolyl cis-trans isomerase-like 4 (PPIase) (EC 5.2.1.8) (Cyclophilin-like protein PPIL4) (Rotamase PPIL4)	GO:0003723; GO:0003755; GO:0005634; GO:0005654; GO:0005829; GO:1901407	cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; peptidyl-prolyl cis-trans isomerase activity [GO:0003755]; RNA binding [GO:0003723]; regulation of phosphorylation of RNA polymerase II C-terminal domain [GO:1901407]
Q96AY4	TTC28_HUMAN	Tetratricopeptide repeat protein 28 (TPR repeat protein 28) (TPR repeat-containing big gene cloned at Keio)	GO:0000922; GO:0005737; GO:0005815; GO:0007049; GO:0007346; GO:0019900; GO:0030496; GO:0051301; GO:0072686	cytoplasm [GO:0005737]; microtubule organizing center [GO:0005815]; midbody [GO:0030496]; mitotic spindle [GO:0072686]; spindle pole [GO:0000922]; kinase binding [GO:0019900]; cell cycle [GO:0007049]; cell division [GO:0051301]; regulation of mitotic cell cycle [GO:0007346]
Q96DM1	PGBD4_HUMAN	PiggyBac transposable element-derived protein 4		
Q96SL1	DIRC2_HUMAN	Solute carrier family 49 member 4 (Disrupted in renal cancer protein 2) (Disrupted in renal carcinoma protein 2)	GO:0005765; GO:0016021; GO:0043231	integral component of membrane [GO:0016021]; intracellular membrane-bounded organelle [GO:0043231]; lysosomal membrane [GO:0005765]
Q99797	MIPEP_HUMAN	Mitochondrial intermediate peptidase (MIP) (EC 3.4.24.59)	GO:0004222; GO:0005739; GO:0005759; GO:0006508; GO:0006518; GO:0006627; GO:0046872	mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]; peptide metabolic process [GO:0006518]; protein processing involved in protein targeting to mitochondrion [GO:0006627]; proteolysis [GO:0006508]
Q9NQP4	PFD4_HUMAN	Prefoldin subunit 4 (Protein C-1)	GO:0005634; GO:0005737; GO:0005739; GO:0005829; GO:0006457; GO:0016272; GO:0051082; GO:0051087	cytoplasm [GO:0005737]; cytosol [GO:0005829]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; prefoldin complex [GO:0016272]; chaperone binding [GO:0051087]; unfolded protein binding [GO:0051082]; protein folding [GO:0006457]
Q9NZJ4	SACS_HUMAN	Sacsin (DnaJ homolog subfamily C member 29) (DNAJC29)	GO:0005634; GO:0005737; GO:0005739; GO:0006457; GO:0030424; GO:0030425; GO:0030544; GO:0051087; GO:0070628; GO:0070852; GO:0090084	axon [GO:0030424]; cell body fiber [GO:0070852]; cytoplasm [GO:0005737]; dendrite [GO:0030425]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; chaperone binding [GO:0051087]; Hsp70 protein binding [GO:0030544]; proteasome binding [GO:0070628]; negative regulation of inclusion body assembly [GO:0090084]; protein folding [GO:0006457]
Q9QZM5	ABI1_RAT	Abl interactor 1 (Abelson interactor 1) (Abi-1) (Eps8 SH3 domain-binding protein) (Eps8-binding protein) (e3B1)	GO:0005634; GO:0005737; GO:0005856; GO:0008134; GO:0008154; GO:0014069; GO:0017124; GO:0030027; GO:0030054; GO:0030175; GO:0030296; GO:0030426; GO:0045211; GO:0098978; GO:0099527	cell junction [GO:0030054]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; filopodium [GO:0030175]; glutamatergic synapse [GO:0098978]; growth cone [GO:0030426]; lamellipodium [GO:0030027]; nucleus [GO:0005634]; postsynaptic density [GO:0014069]; postsynaptic membrane [GO:0045211]; protein tyrosine kinase activator activity [GO:0030296]; SH3 domain binding [GO:0017124]; transcription factor binding [GO:0008134]; actin polymerization or depolymerization [GO:0008154]; postsynapse to nucleus signaling pathway [GO:0099527]
Q9SMT7	4CLLA_ARATH	Oxalate--CoA ligase (EC 6.2.1.8) (4-coumarate--CoA ligase isoform 8) (At4CL8) (4-coumarate--CoA ligase-like 10) (Acyl-activating enzyme 3) (Adenosine monophosphate binding protein 3) (AtMPBP3) (Oxalyl-CoA synthetase)	GO:0005524; GO:0005737; GO:0005829; GO:0009506; GO:0009507; GO:0009570; GO:0010030; GO:0010214; GO:0033611; GO:0046686; GO:0048046; GO:0050203; GO:0050832	apoplast [GO:0048046]; chloroplast [GO:0009507]; chloroplast stroma [GO:0009570]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; plasmodesma [GO:0009506]; ATP binding [GO:0005524]; oxalate-CoA ligase activity [GO:0050203]; defense response to fungus [GO:0050832]; oxalate catabolic process [GO:0033611]; positive regulation of seed germination [GO:0010030]; response to cadmium ion [GO:0046686]; seed coat development [GO:0010214]
